Annotator	Micro F1	Date
FOX	0.08721804511278196	2015-12-05
Kea		2015-12-05
NERD-ML	0.374355195283714	2015-12-05
Wikipedia Miner	0.30778974034198864	2015-12-05
WAT	0.5393988627132413	2015-12-06
TagMe 2	0.397172236503856	2015-12-06
TagMe 2	0.397172236503856	2015-12-17
DBpedia Spotlight	0.35334713595583156	2016-01-06
TagMe 2	0.3688946015424164	2016-01-15
Wikipedia Miner		2016-01-15
DBpedia Spotlight	0.35334713595583156	2016-01-19
Babelfy	0.3662258392675483	2016-01-19
DBpedia Spotlight	0.3322170127260549	2016-02-04
Babelfy	0.335707019328586	2016-02-04
Wikipedia Miner		2016-02-04
Kea	0.0901749663526245	2016-02-12
