Annotator	Micro F1	Date
TagMe 2	0.2062615101	2015-12-04
Wikipedia Miner	0.1159263272	2015-12-04
NERD-ML	0.225921522	2015-12-04
Kea		2015-12-04
Babelfy	0.1122807018	2015-12-04
Dexter	0.1887800534	2015-12-04
Entityclassifier.eu NER		2015-12-04
FOX	0.1159103335	2015-12-04
NERD-ML	0.2330558859	2015-12-04
Kea		2015-12-04
WAT	0.2356557377	2015-12-30
Babelfy	0.09167204648	2016-01-15
TagMe 2	0.2062615101	2016-01-15
Wikipedia Miner		2016-01-15
DBpedia Spotlight	0.160391198	2016-01-22
Dexter	0.1887800534	2016-01-22
WAT	0.2356557377	2016-01-22
Babelfy	0.1122807018	2016-01-22
NERD-ML	0.2330558859	2016-01-22
TagMe 2	0.2201834862	2016-01-22
Entityclassifier.eu NER	0.1228956229	2016-01-22
FOX	0.119695321	2016-01-22
Wikipedia Miner		2016-01-22
Kea		2016-01-22
DBpedia Spotlight	0.1483276781	2016-02-04
Babelfy	0.09167204648	2016-02-04
Wikipedia Miner		2016-02-04
